node_0.15,node_0.4,node_0.7,node_0.9
DCLK1,SST,NPY,TAC1
TEP1,NPY,SST,VIP
EGR1,SNAP25,VIP,NPY
CCK,TAC1,TAC1,SST
SST,GNAL,CCK,FANCM
SNAP25,ZIC1,FANCM,FGFR1
AK5,ISL1,FGFR1,FGFR4
HPRT1,GNB4,SCT,GRP
GRIN2B,CRH,GRP,CCK
CBLN1,CCK,CRH,FGF16
SCGN,GRIN2B,MYOD1,FGF5
TAC1,VIP,LTF,SCT
LTF,SYT1,FGFR4,CORT
IGF2,SCG2,GNAL,FANCB
PLK2,GRP,SNAP25,FANCC
CRYM,FGFR1,CHRM1,ROBO2
CAMK2A,CAMK2A,STAT4,MATN3
NPTX2,LTF,ADCYAP1,C4B
SYT1,SCT,FGF5,BSND
ISL1,SERPINA1,KLK7,S100A12
CHD7,TAC3,CORT,CLCNKA
S100A4,KALRN,ITGA2,S100A8
NCALD,FANCM,IGF2,C1R
MYOD1,ADCYAP1,SLC26A2,CCL25
MATN3,MYOD1,MATN3,PF4V1
